X,Y,OBJECTID,Call_Taken,Customer,Location,Latitude,Longitude,Ward_numbe,Neighborho,Community,Day_Identi,TowDist
-93.269271999902855,45.000337000352324,1036,01/11/2017 11:36pm,Snow Emergency,"118 13th ave ne,Minneapolis,MN",45.000337,-93.269272,3,Sheridan,Northeast,1,2
-93.268820999789284,45.000280000421753,1037,01/11/2017 11:49pm,Snow Emergency,"120 13th ave ne,Minneapolis,MN",45.00028,-93.268821,3,Sheridan,Northeast,1,2
-93.269350999948642,45.00031000000655,1038,01/11/2017 11:54pm,Snow Emergency,"116 13th ave ne,Minneapolis,MN",45.00031,-93.269351,3,Sheridan,Northeast,1,2
-93.261587999886274,44.999816999754792,1039,01/12/2017 01:27am,Snow Emergency,"1200 4th st ne,Minneapolis,MN",44.999817,-93.261588,3,Sheridan,Northeast,2,2
-93.269043000134332,45.0009990003037,1040,01/12/2017 09:56am,Snow Emergency,"1312 Grand St ne,Minneapolis,MN",45.000999,-93.269043,3,Sheridan,Northeast,2,2
-93.270279999622232,45.002448999721608,1041,01/12/2017 10:21am,Snow Emergency,"1428 Grand st ne,Minneapolis,MN",45.002449,-93.27028,3,Sheridan,Northeast,2,2
-93.260547999590472,45.002038999700112,1042,01/12/2017 10:41am,Snow Emergency,"1400 5th st ne,Minneapolis,MN",45.002039,-93.260548,3,Sheridan,Northeast,2,2
-93.269938000038621,45.001909000000417,1043,01/12/2017 10:59am,Snow Emergency,"1408 Grand st,Minneapolis,MN",45.001909,-93.269938,3,Sheridan,Northeast,2,2
-93.259198000287427,44.999108000333983,1044,01/12/2017 11:01am,Snow Emergency,"1110 6th st ne,Minneapolis,MN",44.999108,-93.259198,3,Sheridan,Northeast,2,2
-93.267653999932122,45.001030999980742,1045,01/13/2017 09:25am,Snow Emergency,"1311 Main st ne,Minneapolis,MN",45.001031,-93.267654,3,Sheridan,Northeast,3,2
-93.267396999771677,45.000230999960714,1046,01/13/2017 09:33am,Snow Emergency,"1207 Main St ne,Minneapolis,MN",45.000231,-93.267397,3,Sheridan,Northeast,3,2
-93.267353000440608,44.999338000148668,1047,01/13/2017 09:50am,Snow Emergency,"1115 Main st ne,Minneapolis,MN",44.999338,-93.267353,3,Sheridan,Northeast,3,2
-93.267359999864084,44.999447999825406,1048,01/13/2017 09:52am,Snow Emergency,"1119 Main st ne,Minneapolis,MN",44.999448,-93.26736,3,Sheridan,Northeast,3,2
-93.267665000439365,45.003408999925448,1049,01/13/2017 09:57am,Snow Emergency,"1509 Main St ne,Minneapolis,MN",45.003409,-93.267665,3,Sheridan,Northeast,3,2
-93.25888000001197,45.004929999919611,1050,01/13/2017 10:07am,Snow Emergency,"1625 6th st ave,Minneapolis,MN",45.00493,-93.25888,3,Sheridan,Northeast,3,2
-93.258593000266728,45.004651999690118,1051,01/13/2017 10:17am,Snow Emergency,"1615 6th st ne,Minneapolis,MN",45.004652,-93.258593,3,Sheridan,Northeast,3,2
-93.259965999731094,45.002276999883684,1052,01/13/2017 10:19am,Snow Emergency,"1411 5th st ne,Minneapolis,MN",45.002277,-93.259966,3,Sheridan,Northeast,3,2
-93.265132999688149,45.000049999707748,1053,01/13/2017 10:57am,Snow Emergency,"221 12th ave ne,Minneapolis,MN",45.00005,-93.265133,3,Sheridan,Northeast,3,2
-93.262408999975321,45.003232999903048,1054,01/13/2017 11:45am,Snow Emergency,"345 15th ave ,Minneapolis,MN",45.003233,-93.262409,3,Sheridan,Northeast,3,2
-93.258499000428515,45.002484000436304,1055,01/13/2017 11:45am,Snow Emergency,"1417 6th st e,Minneapolis,MN",45.002484,-93.258499,3,Sheridan,Northeast,3,2
-93.263858000246501,45.00305899997295,1056,01/13/2017 11:46am,Snow Emergency,"315 15th ave ne,Minneapolis,MN",45.003059,-93.263858,3,Sheridan,Northeast,3,2
-93.266949999842609,45.003287999741474,1057,01/13/2017 11:53am,Snow Emergency,"161 15th ave ne,Minneapolis,MN",45.003288,-93.26695,3,Sheridan,Northeast,3,2
-93.260008999915385,45.002604999721029,1058,01/13/2017 12:41pm,Snow Emergency,"1421 5th st ne,Minneapolis,MN",45.002605,-93.260009,3,Sheridan,Northeast,3,2
-93.251590000178339,44.993600999986178,1059,01/12/2017 09:17am,Snow Emergency,"800 3rd ave ne,Minneapolis,MN",44.993601,-93.25159,3,St. Anthony East,Northeast,2,2
-93.251590000178339,44.993600999986178,1060,01/12/2017 09:18am,Snow Emergency,"804 3rd ave ne,Minneapolis,MN",44.993601,-93.25159,3,St. Anthony East,Northeast,2,2
-93.254098999868916,44.992152999761153,1061,01/12/2017 09:38am,Snow Emergency,"252 6th st ne,Minneapolis,MN",44.992153,-93.254099,3,St. Anthony East,Northeast,2,2
-93.25453500019006,44.992020999969206,1062,01/12/2017 10:02am,Snow Emergency,"254 6th st ne,Minneapolis,MN",44.992021,-93.254535,3,St. Anthony East,Northeast,2,2
-93.250805999996885,44.996924000342403,1063,01/12/2017 10:17am,Snow Emergency,"808 Summer st ne,Minneapolis,MN",44.996924,-93.250806,3,St. Anthony East,Northeast,2,2
-93.252410000221289,44.996918000065705,1064,01/12/2017 10:19am,Snow Emergency,"702 Summer St ne,Minneapolis,MN",44.996918,-93.25241,3,St. Anthony East,Northeast,2,2
-93.253155000402899,44.996750999559033,1065,01/12/2017 10:22am,Snow Emergency,"688 Summer st ne,Minneapolis,MN",44.996751,-93.253155,3,St. Anthony East,Northeast,2,2
-93.254074999661441,44.991959999854146,1066,01/12/2017 11:15am,Snow Emergency,"240 6th st ne,Minneapolis,MN",44.99196,-93.254075,3,St. Anthony East,Northeast,2,2
-93.255467000002,44.991810000131473,1067,01/12/2017 11:54am,Snow Emergency,"250 5th st ne,Minneapolis,MN",44.99181,-93.255467,3,St. Anthony East,Northeast,2,2
-93.255460999725301,44.991800999716418,1068,01/12/2017 12:21pm,Snow Emergency,"248 5th st ne,Minneapolis,MN",44.991801,-93.255461,3,St. Anthony East,Northeast,2,2
-93.256513999721278,44.997689999693762,1069,01/12/2017 12:38pm,Snow Emergency,"724 Adams st ne,Minneapolis,MN",44.99769,-93.256514,3,St. Anthony East,Northeast,2,2
