FID,X,Y,Call_Taken,Location,Day
1066,-10385350.321847,5625589.530434,2016-02-04T00:00:00.000Z,3901 dupont ave n,Day 3
1067,-10383363.283765,5616208.561566,2016-02-04T00:00:00.000Z,123 17th Street East,Day 3
1068,-10381508.942003,5611642.078582,2016-02-04T00:00:00.000Z,3629 11th ave so,Day 3
1069,0,0,2016-02-04T00:00:00.000Z,2927 bupont Ave n,Day 3
1070,-10381676.998051,5621695.64402,2016-02-04T00:00:00.000Z,1315 5th st ne,Day 3
1071,-10377980.356847,5619207.339412,2016-02-04T00:00:00.000Z,927 18th ave se,Day 3
1072,-10385775.109796,5612511.646837,2016-02-04T00:00:00.000Z,3309 Girard Ave South,Day 3
1073,-10385763.990384,5623650.470494,2016-02-04T00:00:00.000Z,3219 GIRARD AVE N,Day 3
1074,-10382651.075469,5613876.68956,2016-02-04T00:00:00.000Z,2827 5TH AVE S,Day 3
1075,-10381505.771919,5611113.289816,2016-02-04T00:00:00.000Z,3815 11th ave s,Day 3
1076,-10380040.31427,5618704.855212,2016-02-04T00:00:00.000Z,225 8th ave se,Day 3
1077,-10386898.11246,5625156.383719,2016-02-04T00:00:00.000Z,3745 Oliver Ave n,Day 3
1078,-10385910.827897,5619205.274837,2016-02-04T00:00:00.000Z,709 Humboldt ave n,Day 3
1079,-10380257.754687,5619412.981418,2016-02-04T00:00:00.000Z,511 5th ave se,Day 3
1080,-10385500.756755,5612985.305284,2016-02-04T00:00:00.000Z,3144 EMERSON AVE S,Day 3
1081,-10380665.995112,5611924.160049,2016-02-04T00:00:00.000Z,3529 16th ave s,Day 3
1082,-10386101.128576,5612534.167943,2016-02-04T00:00:00.000Z,1455 33rd st w,Day 3
1083,0,0,2016-02-04T00:00:00.000Z,1521 s 10th ave,Day 3
1084,-10382648.801429,5614210.186218,2016-02-04T00:00:00.000Z,2709 5TH AVE S,Day 3
1085,-10386891.875323,5624006.967503,2016-02-04T00:00:00.000Z,3341 Oliver ave n,Day 3
1086,-10380949.955761,5612220.402899,2016-02-04T00:00:00.000Z,3425 15th Ave s,Day 3
1087,-10385497.057032,5611934.947703,2016-02-04T00:00:00.000Z,3523 EMERSON AVE S,Day 3
1088,0,0,2016-02-04T00:00:00.000Z,809 e 30th st,Day 3
1089,-10384238.270419,5616308.591913,2016-02-04T00:00:00.000Z,309 oak grove st,Day 3
1090,-10386040.825877,5616357.633991,2016-02-04T00:00:00.000Z,1725 Irving ave s,Day 3
1091,0,0,2016-02-04T00:00:00.000Z,3119 N 4th st,Day 3
1092,-10386887.7671,5622618.341909,2016-02-04T00:00:00.000Z,2653 Oliver Ave N,Day 3
1093,-10387604.53318,5619365.078779,2016-02-04T00:00:00.000Z,817 Thomas ave n,Day 3
1094,-10379695.224599,5619279.564417,2016-02-04T00:00:00.000Z,813 6th ST SE,Day 3
1095,-10377236.858077,5620102.573962,2016-02-04T00:00:00.000Z,1101 23RD AVE SE,Day 3
1096,-10380161.642374,5619584.049206,2016-02-04T00:00:00.000Z,623 5th ave se,Day 3
1097,-10382929.752054,5616041.34475,2016-02-04T00:00:00.000Z,321 18TH ST E,Day 3
1098,-10379476.319548,5619392.721478,2016-02-04T00:00:00.000Z,717 9th ave se,Day 3
1099,-10381802.819091,5613057.646443,2016-02-04T00:00:00.000Z,3117 elliot ave,Day 3
1100,-10379693.304348,5619278.47501,2016-02-04T00:00:00.000Z,815 6th St se,Day 3
1101,-10385354.505371,5612132.392692,2016-02-04T00:00:00.000Z,3455 dupont ave s,Day 3
1102,-10384035.327594,5616237.590636,2016-02-04T00:00:00.000Z,219 Oak Grove Street,Day 3
1103,-10385498.658613,5626013.41484,2016-02-04T00:00:00.000Z,4047 Emerson Ave n,Day 3
1104,-10380337.736168,5619641.77437,2016-02-04T00:00:00.000Z,407 6th st se,Day 3
1105,-10384925.046662,5612811.667894,2016-02-04T00:00:00.000Z,3203 Aldrich ave s,Day 3
1106,-10380344.620426,5619645.669075,2016-02-04T00:00:00.000Z,403 6th st se,Day 3
1107,-10378757.092043,5618750.615727,2016-02-04T00:00:00.000Z,1415 6th st se,Day 3
1108,-10381647.114154,5611304.654548,2016-02-04T00:00:00.000Z,3749 10th ave so,Day 3
1109,-10387739.832667,5622604.9204,2016-02-04T00:00:00.000Z,2647 upton ave n,Day 3
1110,-10380177.101277,5619193.286259,2016-02-04T00:00:00.000Z,427 6TH Ave se,Day 3
1111,-10385474.539871,5615505.362977,2016-02-04T00:00:00.000Z,2105 emerson av s,Day 3
1112,-10382870.597128,5616041.453249,2016-02-04T00:00:00.000Z,357 18th st East,Day 3
1113,-10378759.962716,5619176.320937,2016-02-04T00:00:00.000Z,815 13th ave SE,Day 3
1114,-10380483.074056,5619723.412096,2016-02-04T00:00:00.000Z,315 6th st se,Day 3
1115,0,0,2016-02-04T00:00:00.000Z,3215 N 4th st,Day 3
1116,-10380179.974814,5612535.544569,2016-02-04T00:00:00.000Z,1837 33rd st e,Day 3
1117,-10381087.295307,5609050.119645,2016-02-04T00:00:00.000Z,4543 14TH AVE S,Day 3
1118,-10381932.287544,5616034.472169,2016-02-04T00:00:00.000Z,805 18Th St e,Day 3
1119,0,0,2016-02-04T00:00:00.000Z,1097 29RD AVE SE,Day 3
1120,-10385799.766218,5620300.81201,2016-02-04T00:00:00.000Z,1325 Girard Ave n,Day 3
1121,-10384953.714698,5621107.036008,2016-02-04T00:00:00.000Z,805 18th ave s,Day 3
1122,-10380130.842607,5619524.912362,2016-02-04T00:00:00.000Z,527 6TH ST SE,Day 3
1123,-10384608.310268,5621568.534929,2016-02-04T00:00:00.000Z,2103 6th st n,Day 3
1124,-10380048.536755,5618689.917857,2016-02-04T00:00:00.000Z,215 8th Ave se,Day 3
1125,-10378766.050589,5619165.866059,2016-02-04T00:00:00.000Z,805 13th av se,Day 3
1126,-10380332.648051,5619277.830459,2016-02-04T00:00:00.000Z,425 5th AVE SE,Day 3
1127,-10386475.870371,5618864.334611,2016-02-04T00:00:00.000Z,535 Logan ave. n,Day 3
1128,-10385773.637828,5612749.239096,2016-02-04T00:00:00.000Z,3225 GIRARD AVE S,Day 3
1129,-10380585.530078,5623083.341796,2016-02-04T00:00:00.000Z,829 22nd Ave NE,Day 3
1130,-10381792.616485,5611872.321514,2016-02-04T00:00:00.000Z,3549 elliot,Day 3
1131,-10378761.18029,5619174.229961,2016-02-04T00:00:00.000Z,813 13th Ave SE,Day 3
1132,-10382646.524837,5615841.795106,2016-02-04T00:00:00.000Z,501 19th st e,Day 3
1133,0,0,2016-02-04T00:00:00.000Z,3535 32st w,Day 3
1134,-10381235.499906,5622362.132098,2016-02-04T00:00:00.000Z,1705 Adams St NE,Day 3
1135,-10378771.808306,5618758.971283,2016-02-04T00:00:00.000Z,1405 6th St se,Day 3
1136,-10380212.940357,5618769.130168,2016-02-04T00:00:00.000Z,207 7TH AVE SE,Day 3
1137,-10381788.945779,5609909.419085,2016-02-04T00:00:00.000Z,4241 elliot ave s,Day 3
1138,-10380589.332994,5623083.335921,2016-02-04T00:00:00.000Z,827 22nd Ave NE,Day 3
1139,-10388915.832184,5612865.553076,2016-02-04T00:00:00.000Z,3607 32nd st w,Day 3
1140,-10381792.519001,5611861.45741,2016-02-04T00:00:00.000Z,3553 elliot,Day 3
1141,-10384376.861745,5616211.683322,2016-02-04T00:00:00.000Z,411 clifton av,Day 3
1142,-10385762.645832,5622897.349699,2016-02-04T00:00:00.000Z,2809 girard ave n,Day 3
1143,-10385910.852677,5619215.954575,2016-02-04T00:00:00.000Z,715 humboldt ave n,Day 3
1144,-10380615.953404,5623083.294801,2016-02-04T00:00:00.000Z,813 22nd Ave NE,Day 3
1145,-10378425.367769,5618968.437407,2016-02-04T00:00:00.000Z,1509 8th st se,Day 3
1146,-10381156.954935,5623275.491012,2016-02-04T00:00:00.000Z,2311 Jefferson St NE,Day 3
1147,-10384037.221081,5615820.992943,2016-02-04T00:00:00.000Z,223 RIDGEWOOD AVE S,Day 3
1148,-10384454.283341,5616397.403259,2016-02-04T00:00:00.000Z,407 OAK GROVE ST,Day 3
